date,open,high,low,close,volume,adjclose
# num of rows: 575
2019-01-02 00:00:00.000,245.97999572753906,251.2100067138672,245.9499969482422,250.17999267578125,126925200,240.2426300048828
2019-01-03 00:00:00.000,248.22999572753906,248.57000732421875,243.6699981689453,244.2100067138672,144140700,234.509765625
2019-01-04 00:00:00.000,247.58999633789062,253.11000061035156,247.1699981689453,252.38999938964844,142628800,242.3648681640625
2019-01-07 00:00:00.000,252.69000244140625,255.9499969482422,251.69000244140625,254.3800048828125,103139100,244.27581787109375
2019-01-08 00:00:00.000,256.82000732421875,257.30999755859375,254.0,256.7699890136719,102512600,246.57086181640625
2019-01-09 00:00:00.000,257.55999755859375,258.9100036621094,256.19000244140625,257.9700012207031,95006600,247.72320556640625
2019-01-10 00:00:00.000,256.260009765625,259.1600036621094,255.5,258.8800048828125,96823900,248.59706115722656
2019-01-11 00:00:00.000,257.67999267578125,259.010009765625,257.0299987792969,258.9800109863281,73858100,248.693115234375
2019-01-14 00:00:00.000,256.8599853515625,258.29998779296875,256.4100036621094,257.3999938964844,70908200,247.17587280273438
2019-01-15 00:00:00.000,257.82000732421875,260.70001220703125,257.80999755859375,260.3500061035156,85208300,250.00869750976562
2019-01-16 00:00:00.000,260.8299865722656,261.9700012207031,260.6000061035156,260.9800109863281,77636700,250.61363220214844
2019-01-17 00:00:00.000,260.010009765625,263.9200134277344,259.9599914550781,262.9599914550781,96118400,252.51499938964844
2019-01-18 00:00:00.000,264.9800109863281,266.9800109863281,263.0,266.4599914550781,127900300,255.87600708007812
2019-01-22 00:00:00.000,264.82000732421875,265.05999755859375,261.05999755859375,262.8599853515625,115531200,252.41896057128906
2019-01-23 00:00:00.000,264.010009765625,264.7900085449219,260.6600036621094,263.4100036621094,86030300,252.94712829589844
2019-01-24 00:00:00.000,263.2099914550781,264.20001220703125,262.0799865722656,263.54998779296875,59204100,253.08154296875
2019-01-25 00:00:00.000,265.6099853515625,266.70001220703125,263.6600036621094,265.7799987792969,96883400,255.22300720214844
2019-01-28 00:00:00.000,263.3900146484375,263.8299865722656,261.7900085449219,263.760009765625,85613700,253.28323364257812
2019-01-29 00:00:00.000,263.9200134277344,264.54998779296875,262.4800109863281,263.4100036621094,66136300,252.94712829589844
2019-01-30 00:00:00.000,265.1000061035156,268.5199890136719,264.25,267.5799865722656,92473700,256.9515380859375
2019-01-31 00:00:00.000,267.510009765625,270.4700012207031,267.2699890136719,269.92999267578125,104012100,259.2081298828125
2019-02-01 00:00:00.000,270.1499938964844,271.20001220703125,269.17999267578125,270.05999755859375,85782500,259.3330078125
2019-02-04 00:00:00.000,270.1099853515625,272.0299987792969,269.3599853515625,271.9599914550781,60744800,261.157470703125
2019-02-05 00:00:00.000,272.44000244140625,273.44000244140625,271.8800048828125,273.1000061035156,79552800,262.25225830078125
2019-02-06 00:00:00.000,272.7900085449219,273.3399963378906,271.9200134277344,272.739990234375,58347800,261.90655517578125
2019-02-07 00:00:00.000,270.94000244140625,271.54998779296875,268.2900085449219,270.1400146484375,95482000,259.40985107421875
2019-02-08 00:00:00.000,268.75,270.5799865722656,267.8299865722656,270.4700012207031,75788900,259.7267150878906
2019-02-11 00:00:00.000,271.20001220703125,271.489990234375,270.0299987792969,270.6199951171875,68021400,259.8707580566406
2019-02-12 00:00:00.000,272.4200134277344,274.5199890136719,272.3399963378906,274.1000061035156,72270200,263.2125244140625
2019-02-13 00:00:00.000,275.0299987792969,275.92999267578125,274.55999755859375,274.989990234375,65277200,264.067138671875
2019-02-14 00:00:00.000,273.7799987792969,275.6400146484375,272.8699951171875,274.3800048828125,83234400,263.4814147949219
2019-02-15 00:00:00.000,276.3599853515625,277.4100036621094,276.1300048828125,277.3699951171875,97088700,266.35260009765625
2019-02-19 00:00:00.000,276.4800109863281,278.5799865722656,276.4700012207031,277.8500061035156,59120800,266.8135681152344
2019-02-20 00:00:00.000,277.80999755859375,278.9200134277344,277.25,278.4100036621094,76610800,267.351318359375
